questionID,label,score,explaination,weight
72,a,100,"Yes, the law sets penalties for non-compliance with environmental mitigation management plans.",1
72,b,50,"Yes, a publicly documented policy sets penalties for non-compliance with environmental mitigation management plans.",1
72,c,0,"No, there are no penalties for non-compliance with environmental mitigation management plans.",1
72,d,NA,Not applicable/Other.,1
133,a,100,"Yes, the law specifies a formula governing the transfer of extractive resource revenues between the central government and subnational governments.",0.777
133,b,50,"Yes, a publicly documented policy specifies a formula governing the transfer of extractive resource revenues between the central government and subnational governments.",0.777
133,c,0,No rules specify a formula governing the transfer of extractive resource revenues between the central government and subnational governments.,0.777
133,d,NA,Not applicable/Other.,0.777
50,a,100,"Yes, the law specifies the calculation of income tax rate(s) applying to extractive companies.",1
50,b,50,"Yes, a publicly documented policy specifies the calculation of income tax rate(s) applying to extractive companies.",1
50,c,0,"No, rules do not specify the calculation for income tax rate(s) applying to extractive companies.",1
50,d,NA,Not applicable/Other.,1
52,a,100,"Yes, the law specifies the level of state equity in extractive companies.",1
52,b,50,"Yes, a publicly documented policy specifies the level of state equity in extractive companies.",1
52,c,0,"No, rules do not specify the level of state equity in extractive companies.",1
52,d,NA,Not applicable/Other.,1
51,a,100,"Yes, the law specifies the calculation of royalty rate(s) applying to extractive companies.",1
51,b,50,"Yes, a publicly documented policy specifies the calculation of royalty rate(s) applying to extractive companies.",1
51,c,0,"No, rules do not specify the calculation for royalty rate(s) applying to extractive companies.",1
51,d,NA,Not applicable/Other.,1
53,a,100,"Yes, the law specifies the withholding tax rate(s) applying to extractive companies.",1
53,b,50,"Yes, a publicly documented policy specifies the withholding tax rate(s) applying to extractive companies.",1
53,c,0,"No, rules do not specify the withholding tax rate(s) applying to extractive companies.",1
53,d,NA,Not applicable/Other.,1
132,a,100,"Yes, the law specifies which subnational agencies receive the extractive resource revenues transferred from the central government.",0.777
132,b,50,"Yes, a publicly documented policy specifies which subnational agencies receive the extractive resource revenues transferred from the central government.",0.777
132,c,0,No rules specify which subnational agencies receive the extractive resource revenues transferred from the central government.,0.777
132,d,NA,Not applicable/Other.,0.777
169,a,100,"Yes, the registry contains at least the following information:
- Name of license holder 
- Coordinates 
- Date/year of application and award 
- Duration 
- Type of license 
- Names of companies that hold an interest in the block",1
169,b,50,"Yes, the registry contains at least the following information:
- Name of license holder 
- Coordinates 
- Date/year of application and award 
- Type of license 
",1
169,c,20,"Yes, the registry contains at least the following information:
- Name of license holder 
- Coordinates
",1
169,d,0,No registry of licenses/contracts exists.,1
169,e,NA,Not applicable/Other.,1
117,a,100,"Yes, the law includes a numerical fiscal rule for the government.",1
117,b,80,"Yes, a publicly documented policy includes a numerical fiscal rule for the government.",1
117,c,0,"No, there is no numerical fiscal rule.",1
117,d,NA,Not applicable/Other.,1
11,a,100,"Yes, the government has a online data portal where the data listed is publicly available.",1
11,b,0,No such portal exists.,1
11,c,NA,Not applicable/Other.,1
2,a,100,"Yes, at the project level.",1
2,b,80,"Yes, in the aggregate.",1
2,c,0,"No, the government does not publicly disclose data on the stock of extractive resource reserves.",1
2,d,NA,Not applicable/Other.,1
8,a,100,"Yes, at the project level.",1
8,b,50,"Yes, in the aggregate.",1
8,c,0,"No, the government does not publicly disclose data on the value of extractive resource exports.",1
8,d,NA,Not applicable/Other.,1
59,a,100,"Yes, at the company-level.",1
59,b,50,"Yes, in the aggregate.",1
59,c,0,"No, the government does not publicly disclose data on the value of tax/payment receipts.",1
59,d,NA,Not applicable/Other.,1
5,a,100,"Yes, at the project level.",1
5,b,50,"Yes, in the aggregate.",1
5,c,0,"No, the government does not publicly disclose data on the volume of extractive resource production.",1
5,d,NA,Not applicable/Other.,1
84,a,100,"Yes, the most recent publicly available data covers a fiscal year ending in 2015 or 2016.",1
84,b,80,"Yes, the most recent publicly available data covers a fiscal year ending in 2012, 2013 or 2014.",1
84,c,20,"Yes, the most recent publicly available data covers a fiscal year ending in 2011 or earlier.",1
84,d,0,"No, the government does not publicly disclose how much revenue it receives from the SOE.",1
84,e,NA,Not applicable/Other.,1
121,a,100,"Yes, the most recent projections were disclosed in 2015 or 2016.",1
121,b,80,"Yes, the most recent projections were disclosed in 2012, 2013 or 2014.",1
121,c,20,"Yes, the most recent projections were disclosed in 2011 or earlier.",1
121,d,0,"No, the government does not publicly disclose such projections.",1
121,e,NA,Not applicable/Other.,1
126,a,100,"Yes, the most recent publicly available information on the level of national debt covers a fiscal year ending in 2015 or 2016.",1
126,b,80,"Yes, the most recent publicly available information on the level of national debt covers a fiscal year ending in 2012, 2013 or 2014.",1
126,c,20,"Yes, the most recent publicly available information on the level of national debt covers a fiscal year ending in 2011 or earlier.",1
126,d,0,"No, the government does not publicly disclose information on the level of national debt.",1
126,e,NA,Not applicable/Other.,1
12,a,100,"Yes, the online data portal contains the most publicly available data on reserves, production and exports.",1
12,b,0,"No, the online data portal does not contain the most recent publicly available data on reserves, production and exports.",1
12,c,0,No such portal exists.,1
12,d,NA,Not applicable/Other.,1
46,a,100,"Yes, the registry includes information on both assigned and unassigned areas/blocks.",1
46,b,50,"No, the registry excludes information on unassigned areas/blocks.",1
46,c,0,"No, the registry contains no information on areas/blocks.",1
46,d,0,No registry of licenses/contracts exists.,1
46,e,NA,Not applicable/Other.,1
47,a,100,"Yes, the registry gives the names of all companies holding an interest in areas/blocks.",1
47,b,50,"Yes, the registry gives the names for companies holding a majority interest in areas/blocks.",1
47,c,0,"Yes, the registry gives the names for companies holding a minority interest in areas/blocks.",1
47,d,0,"No, the registry does not give the names of companies that hold an interest in areas/blocks.",1
47,e,0,No registry of licenses/contracts exists.,1
47,f,NA,Not applicable/Other.,1
115,a,100,"Yes, the SOE has a publicly available code of conduct.",1
115,b,0,"No, the SOE does not have a publicly available code of conduct.",1
115,c,NA,Not applicable/Other.,1
112,a,100,"Yes, the SOE or government publicly discloses the date of the production sales executed by the SOE, for each sale.",1
112,b,50,"Yes, the SOE or government publicly discloses the date of the production sales executed by the SOE, in the aggregate.",1
112,c,0,"No, the SOE or government does not publicly disclose this information.",1
112,d,NA,Not applicable/Other.,1
113,a,100,"Yes, the SOE or government publicly discloses the names of the companies that bought the production sold by the SOE, for each sale.",1
113,b,50,"Yes, the SOE or government publicly discloses the names of the companies that bought the production sold by the SOE, in the aggregate.",1
113,c,0,"No, the SOE or government does not publicly disclose this information.",1
113,d,NA,Not applicable/Other.,1
111,a,100,"Yes, the SOE or government publicly discloses the value of production sold by the SOE, for each sale.",1
111,b,50,"Yes, the SOE or government publicly discloses the value of production sold by the SOE, in the aggregate.",1
111,c,0,"No, the SOE or government does not publicly disclose this information.",1
111,d,NA,Not applicable/Other.,1
110,a,100,"Yes, the SOE or government publicly discloses the volume of production sold by the SOE, for each sale.",1
110,b,50,"Yes, the SOE or government publicly discloses the volume of production sold by the SOE, in the aggregate.",1
110,c,0,"No, the SOE or government does not publicly disclose this information.",1
110,d,NA,Not applicable/Other.,1
94,a,100,"Yes, the SOE publicly discloses a list of its subsidiaries, covering a fiscal year ending in 2015 or 2016.",1
94,b,80,"Yes, the SOE publicly discloses a list of its subsidiaries, covering a fiscal year ending in 2012, 2013 or 2014.",1
94,c,20,"Yes, the SOE publicly discloses a list of its subsidiaries, covering a fiscal year ending in 2011 or earlier.",1
94,d,0,"No, the SOE does not publicly disclose a list of its subsidiaries.",1
94,e,NA,Not applicable/Other.,1
85,a,100,"Yes, the most recent publicly available data covers a fiscal year ending in 2015 or 2016.",1
85,b,80,"Yes, the most recent publicly available data covers a fiscal year ending in 2012, 2013 or 2014.",1
85,c,20,"Yes, the most recent publicly available data covers a fiscal year ending in 2011 or earlier.",1
85,d,0,"No, the SOE does not publicly disclose this data.",1
85,e,NA,Not applicable/Other.,1
96,a,100,"Yes, the SOE publicly discloses its aggregate production volume, covering a fiscal year ending in 2015 or 2016.",1
96,b,80,"Yes, the SOE publicly discloses its aggregate production volume, covering a fiscal year ending in 2012, 2013 or 2014.",1
96,c,20,"Yes, the SOE publicly discloses its aggregate production volume, covering a fiscal year ending in 2011 or earlier.",1
96,d,0,"No, the SOE does not publicly disclose its aggregate production volume.",1
96,e,NA,Not applicable/Other.,1
97,a,100,"Yes, the SOE publicly discloses its aggregate sales volume, covering a fiscal year ending in 2015 or 2016.",1
97,b,80,"Yes, the SOE publicly discloses its aggregate sales volume, covering a fiscal year ending in 2012, 2013 or 2014.",1
97,c,20,"Yes, the SOE publicly discloses its aggregate sales volume, covering a fiscal year ending in 2011 or earlier.",1
97,d,0,"No, the SOE does not publicly disclose its aggregate sales volume.",1
97,e,NA,Not applicable/Other.,1
92,a,100,"Yes, the SOE publicly discloses its levels of ownership in joint ventures, covering a fiscal year ending in 2015 or 2016.",1
92,b,80,"Yes, the SOE publicly discloses its levels of ownership in joint ventures, covering a fiscal year ending in 2012, 2013 or 2014.",1
92,c,20,"Yes, the SOE publicly discloses its levels of ownership in joint ventures, covering a fiscal year ending in 2011 or earlier.",1
92,d,0,"No, the SOE does not publicly disclose its levels of ownership in joint ventures.",1
92,e,NA,Not applicable/Other.,1
91,a,100,"Yes, the SOE publicly discloses its participation in joint ventures covering a fiscal year ending in 2015 or 2016.",1
91,b,80,"Yes, the SOE publicly discloses its participation in joint ventures covering a fiscal year ending in 2012, 2013 or 2014.",1
91,c,20,"Yes, the SOE publicly discloses its participation in joint ventures covering a fiscal year ending in 2011 or earlier.",1
91,d,0,"No, the SOE does not publicly disclose it participation in joint ventures.",1
91,e,NA,Not applicable/Other.,1
93,a,100,"Yes, the SOE publicly discloses the costs and revenues deriving from its participation in joint ventures, covering a fiscal year ending in 2015 or 2016.",1
93,b,80,"Yes, the SOE publicly discloses the costs and revenues deriving from its participation in joint ventures, covering a fiscal year ending in 2012, 2013 or 2014.",1
93,c,20,"Yes, the SOE publicly discloses the costs and revenues deriving from its participation in joint ventures, covering a fiscal year ending in 2011 or earlier.",1
93,d,0,"No, the SOE does not publicly disclose the costs and revenues deriving from its participation in joint ventures.",1
93,e,NA,Not applicable/Other.,1
95,a,100,"Yes, the SOE publicly discloses the costs and revenues deriving from its subsidiaries, covering a fiscal year ending in 2015 or 2016.",1
95,b,80,"Yes, the SOE publicly discloses the costs and revenues deriving from its subsidiaries, covering a fiscal year ending in 2012, 2013 or 2014.",1
95,c,20,"Yes, the SOE publicly discloses the costs and revenues deriving from its subsidiaries, covering a fiscal year ending in 2011 or earlier.",1
95,d,0,"No, the SOE does not publicly disclose the costs and revenues deriving from its subsidiaries.",1
95,e,NA,Not applicable/Other.,1
88,a,100,"Yes, the SOE's most recent publicly available annual report includes a balance sheet statement for the fiscal year covered by the report.",1
88,b,80,"Yes, the SOE's most recent publicly available annual report includes a balance sheet statement for the fiscal year prior to that covered by the report.",1
88,c,50,"Yes, the SOE's most recent publicly available annual report includes a balance sheet statement for a fiscal year more than one year prior to that covered by the report.",1
88,d,0,"No, the SOE's most recent publicly available annual report does not include a balance sheet statement.",1
88,e,0,The SOE does not publicly disclose annual reports.,1
88,f,NA,Not applicable/Other.,1
89,a,100,"Yes, the SOE's most recent publicly available annual report includes a cash flow statement for the fiscal year covered by the report.",1
89,b,80,"Yes, the SOE's most recent publicly available annual report includes a cash flow statement for the fiscal year prior to that covered by the report.",1
89,c,50,"Yes, the SOE's most recent publicly available annual report includes a cash flow statement for a fiscal year more than one year prior to that covered by the report.",1
89,d,0,"No, the SOE's most recent publicly available annual report does not include a cash flow statement.",1
89,e,0,The SOE does not publicly disclose annual reports.,1
89,f,NA,Not applicable/Other.,1
90,a,100,"Yes, the SOE's most recent publicly available annual report includes an income statement for the fiscal year covered by the report.",1
90,b,80,"Yes, the SOE's most recent publicly available annual report includes an income statement for the fiscal year prior to that covered by the report.",1
90,c,50,"Yes, the SOE's most recent publicly available annual report includes an income statement for a fiscal year more than one year prior to that covered by the report.",1
90,d,0,"No, the SOE's most recent publicly available annual report does not include an income statement.",1
90,e,0,The SOE does not publicly disclose annual reports.,1
90,f,NA,Not applicable/Other.,1
159,a,100,"Yes, the sovereign wealth fund's most recent publicly available report covers a fiscal year ending in 2015 or 2016.",1
159,b,80,"Yes, the sovereign wealth fund's most recent publicly available report covers a fiscal year ending in 2012, 2013 or 2014.",1
159,c,20,"Yes, the sovereign wealth fund's most recent publicly available report covers a fiscal year ending in 2011 or earlier.",1
159,d,0,"No, the sovereign wealth fund does not publicly disclose its annual financial reports.",1
159,e,0,The sovereign wealth fund does not produce annual financial reports.,1
159,f,NA,Not applicable/Other.,1
161,a,100,"Yes, the sovereign wealth fund's most recent publicly available annual financial report discloses deposit and withdrawal amounts for the fiscal year covered by the report.",1
161,b,80,"Yes, the sovereign wealth fund's most recent publicly available annual financial report discloses deposit and withdrawal amounts, for the fiscal year prior to that covered by the report.",1
161,c,50,"Yes, the sovereign wealth fund's most recent publicly available annual financial report discloses deposit and withdrawal amounts, for a fiscal year more than one year prior to that covered by the report.",1
161,d,0,"No, the sovereign wealth fund's most recent publicly available report does not disclose deposit and withdrawal amounts.",1
161,e,0,The sovereign wealth fund does not publicly disclose annual financial reports.,1
161,f,NA,Not applicable/Other.,1
163,a,100,"Yes, the sovereign wealth fund's most recent publicly available annual financial report includes a list of assets held for the fiscal year covered by the report.",1
163,b,80,"Yes, the sovereign wealth fund's most recent publicly available annual financial report includes a list of assets held, for the fiscal year prior to that covered by the report.",1
163,c,50,"Yes, the sovereign wealth fund's most recent publicly available annual financial report includes a list of assets held, for a fiscal year more than one year prior to that covered by the report.",1
163,d,0,"No, the sovereign wealth fund's most recent publicly available report does not include a list of assets held.",1
163,e,0,The sovereign wealth fund does not publicly disclose annual financial reports.,1
163,f,NA,Not applicable/Other.,1
164,a,100,"Yes, the sovereign wealth fund's most recent publicly available annual financial report specifies the fund's asset allocation by asset class for the fiscal year covered by the report.",1
164,b,80,"Yes, the sovereign wealth fund's most recent publicly available annual financial report specifies the fund's asset allocation by asset class, for the fiscal year prior to that covered by the report.",1
164,c,50,"Yes, the sovereign wealth fund's most recent publicly available annual financial report specifies the fund's asset allocation by asset class, for a fiscal year more than one year prior to that covered by the report.",1
164,d,0,"No, the sovereign wealth fund's most recent publicly available report does not specify asset allocation by asset class.",1
164,e,0,The sovereign wealth fund does not publicly disclose annual financial reports.,1
164,f,NA,Not applicable/Other.,1
162,a,100,"Yes, the sovereign wealth fund's most recent publicly available annual financial report specifies investment returns for the fiscal year covered by the report.",1
162,b,80,"Yes, the sovereign wealth fund's most recent publicly available annual financial report specifies investment returns, for the fiscal year prior to that covered by the report.",1
162,c,50,"Yes, the sovereign wealth fund's most recent publicly available annual financial report specifies investment returns, for a fiscal year more than one year prior to that covered by the report.",1
162,d,0,"No, the sovereign wealth fund's most recent publicly available report does not specify investment returns.",1
162,e,0,The sovereign wealth fund does not publicly disclose annual financial reports.,1
162,f,NA,Not applicable/Other.,1
160,a,100,"Yes, the sovereign wealth fund's most recent publicly available report specifies the size of the fund for the fiscal year covered by the report.",1
160,b,80,"Yes, the sovereign wealth fund's most recent publicly available report specifies the size of the fund, for the fiscal year prior to that covered by the report.",1
160,c,50,"Yes, the sovereign wealth fund's most recent publicly available report specifies the size of the fund, for a fiscal year more than one year prior to that covered by the report.",1
160,d,0,"No, the sovereign wealth fund's most recent publicly available report does not specify the size of the fund.",1
160,e,0,The sovereign wealth fund does not publicly disclose annual financial reports.,1
160,f,NA,Not applicable/Other.,1
37,a,100,"Yes, the law requires the licensing authority to publicly disclose the list of companies that submitted bids or applications.",1
37,b,50,"Yes, a publicly documented policy requires the licensing authority to publicly disclose the list of companies that submitted bids or applications.",1
37,c,0,"No, the licensing authority is not required to publicly disclose the list of companies that submitted bids or applications.",1
37,d,NA,Not applicable/Other.,1
39,a,100,"Yes, the law requires the licensing authority to publicly disclose the identity of the winning bidder or applicant.",1
39,b,50,"Yes, a publicly documented policy requires the licensing authority to publicly disclose the identity of the winning bidder or applicant.",1
39,c,0,"No, the licensing authority is not required to publicly disclose the identity of the winning bidder or applicant.",1
39,d,NA,Not applicable/Other.,1
41,a,100,"Yes, the law requires the licensing authority to publicly disclose the list of areas or blocks allocated.",1
41,b,50,"Yes, a publicly documented policy requires the licensing authority to publicly disclose the list of areas or blocks allocated.",1
41,c,0,"No, the licensing authority is not required to publicly disclose the list of areas or blocks allocated.",1
41,d,NA,Not applicable/Other.,1
54,a,100,"Yes, the law specifies the company and government production shares.",1
54,b,50,"Yes, a publicly documented policy specifies the company and government production shares.",1
54,c,0,"No, rules do not specify the company and government production shares.",1
54,d,NA,Not applicable/Other.,1
124,a,100,"Yes, the government has publicly disclosed the total resource revenue received.",1
124,b,0,"No, the government has not publicly disclosed the total resource revenue received.",1
124,c,NA,Not applicable/Other.,1
125,a,100,"Yes, the government has publicly disclosed total government expenditures.",1
125,b,0,"No, the government has not publicly disclosed total government expenditures.",1
125,c,NA,Not applicable/Other.,1
40,a,100,"Yes, the licensing authority disclosed the identity of the winning bidder/applicant, in all known cases.",1
40,b,50,"The licensing authority disclosed the identity of the winning bidder/applicant, in some but not all known cases.",1
40,c,20,"No, the licensing authority has not disclosed the identity of the winning bidder/applicant from 215, but has prior to 215.",1
40,d,0,"No, the licensing authority has not disclosed the identity of the winning bidder/applicant, in any known cases.",1
40,e,NA,Not applicable/Other.,1
42,a,100,"Yes, the licensing authority has disclosed the list of areas/blocks allocated, in all known cases.",1
42,b,50,The licensing authority has disclosed the list of areas/blocks allocated in some but not all known cases.,1
42,c,20,"No, the licensing authority has not disclosed the list of areas/blocks allocated from 215, but has prior to 215.",1
42,d,0,"No, the licensing authority has not disclosed the list of areas/blocks allocated, in any known cases.",1
42,e,NA,Not applicable/Other.,1
38,a,100,"Yes, the licensing authority disclosed the list of companies that submitted bids/applications, in all known cases.",1
38,b,50,The licensing authority disclosed the list of companies that submitted bids/applications in some but not all known cases.,1
38,c,20,"No, the licensing authority has not disclosed the list of companies that submitted bids/applications from 2015, but has prior to 2015.",1
38,d,0,"No, the licensing authority has not disclosed the list of companies that submitted bids/applications, in any known cases.",1
38,e,NA,Not applicable/Other.,1
33,a,100,"Yes, the licensing authority disclosed a list of biddable or negotiable terms, in all known cases.",1
33,b,50,The licensing authority disclosed a list of biddable or negotiable terms in some but not all known cases.,1
33,c,20,"No, the licensing authority has not disclosed a list of biddable or negotiable terms from 215, but has prior to 215.",1
33,d,0,"No, the licensing authority has not disclosed a list of biddable or negotiable terms, in any known cases.",1
33,e,NA,Not applicable/Other.,1
35,a,100,"Yes, the licensing authority disclosed the rules governing the licensing process, in all known cases.",1
35,b,50,The licensing authority disclosed the rules governing the licensing process in some but not all known cases.,1
35,c,20,"No, the licensing authority has not disclosed the rules governing the allocation process from 215, but has prior to 215.",1
35,d,0,"No, the licensing authority has not disclosed the rules governing the allocation process, in any known cases.",1
35,e,NA,Not applicable/Other.,1
135,a,100,"Yes, for each subnational government the central government has publicly disclosed the amount of revenues transferred.",0.777
135,b,50,"Yes, in the aggregate the central government has publicly disclosed the amount of revenues transferred.",0.777
135,c,20,"No, the central government has not publicly disclosed the amount of revenues transferred from 215, but did prior to 215.",0.777
135,d,0,"No, the central government has not publicly disclosed the amount of revenues transferred.",0.777
135,e,NA,Not applicable/Other.,0.777
29,a,100,"Yes, the licensing authority actually publicly disclosed minimum pre-defined criteria by which companies become qualified to participate in each licensing process in all known cases.",1
29,b,50,The licensing authority actually publicly disclosed minimum pre-defined criteria by which companies become qualified to participate in each licensing process in some but not all known cases.,1
29,c,20,"No, the licensing authority has not publicly disclosed minimum pre-defined criteria by which companies become qualified to participate in award processes for licenses/contracts from 215, but has prior to 215.",1
29,d,0,"No, the licensing authority has not publicly disclosed minimum pre-defined criteria by which companies become qualified to participate in award processes for licenses/contracts, in any known cases.",1
29,e,NA,Not applicable/Other.,1
100,a,100,"No, the SOE did not engage in any non-operational activities.",1
100,b,20,"Yes, the SOE engaged in non-operational activities prior to 215.",1
100,c,0,"Yes, the SOE engaged in non-operational activities.",1
100,d,NA,Not applicable/Other.,1
138,a,100,"Yes, the central government has publicly disclosed the amount of revenue transferred by revenue stream, covering a fiscal year ending in 2015 or 2016.",0.777
138,b,50,"Yes, the central government has publicly disclosed the amount of revenue transferred by revenue stream, covering a fiscal year ending in 2012, 2013 or 2014.",0.777
138,c,20,"Yes, the central government has publicly disclosed the amount of revenue transferred by revenue stream, covering a fiscal year ending in 2011 or earlier.",0.777
138,d,0,"No, the government does not publicly disclose the amount of revenue transferred by revenue stream.",0.777
138,e,NA,Not applicable/Other.,0.777
151,a,100,"Yes, the government has adhered to the rules governing the size of deposits into the sovereign wealth fund, with no known exceptions.",1
151,b,20,"No, the government failed to adhere to the numeric rules governing the size of deposits into the sovereign wealth fund from 215, but did prior to 215.",1
151,c,0,"No, the government failed to adhere to the numeric rules governing the size of deposits into the sovereign wealth fund in one or more cases.",1
151,d,0,The rules governing the size of deposits into the sovereign wealth fund have not been publicly disclosed.,1
151,e,0,There are no such rules governing the size of deposits into the sovereign wealth fund.,1
151,f,NA,Not applicable/Other.,1
147,a,100,"Yes, the numeric rules governing the size of withdrawals from sovereign wealth funds have been adhered to, with no known exceptions.",1
147,b,20,"No, the government failed to adhere to the numeric rules governing the size of withdrawals from sovereign wealth funds from 215, but did prior to 215.",1
147,c,0,"No, the government failed to adhere to the numeric rules governing the size of withdrawals from sovereign wealth funds in one or more cases.",1
147,d,0,The rules governing the size of withdrawals from the sovereign wealth fund have not been publicly disclosed.,1
147,e,0,There are no such rules governing the size of withdrawals from the sovereign wealth fund.,1
