country,sector,indicator,subComponent,component,score
Bahrain,Oil and Gas,Regulatory quality,Regulatory quality,Enabling environment,90.2
Bahrain,Oil and Gas,Rule of law,Rule of law,Enabling environment,85.3
Bahrain,Oil and Gas,Voice and accountability,Voice and accountability,Enabling environment,20.7
Bangladesh,Oil and Gas,Control of corruption,Control of corruption,Enabling environment,32.9
Bangladesh,Oil and Gas,Government effectiveness,Government effectiveness,Enabling environment,36.5
Bangladesh,Oil and Gas,Open Data Barometer,Open data,Enabling environment,22.2
Bangladesh,Oil and Gas,Open Data Index,Open data,Enabling environment,1.6
Bangladesh,Oil and Gas,Open data inventory,Open data,Enabling environment,49.4
Bangladesh,Oil and Gas,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,17
Bangladesh,Oil and Gas,Regulatory quality,Regulatory quality,Enabling environment,29.2
Bangladesh,Oil and Gas,Rule of law,Rule of law,Enabling environment,47.5
Bangladesh,Oil and Gas,Voice and accountability,Voice and accountability,Enabling environment,51.2
Bolivia,Oil and Gas,Control of corruption,Control of corruption,Enabling environment,47.5
Bolivia,Oil and Gas,Government effectiveness,Government effectiveness,Enabling environment,41.4
Bolivia,Oil and Gas,Open data inventory,Open data,Enabling environment,65.8
Bolivia,Oil and Gas,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,63.4
Bolivia,Oil and Gas,Regulatory quality,Regulatory quality,Enabling environment,31.7
Bolivia,Oil and Gas,Rule of law,Rule of law,Enabling environment,20.7
Bolivia,Oil and Gas,Voice and accountability,Voice and accountability,Enabling environment,73.1
Botswana,Mining,Control of corruption,Control of corruption,Enabling environment,89
Botswana,Mining,Government effectiveness,Government effectiveness,Enabling environment,86.5
Botswana,Mining,Open Data Barometer,Open data,Enabling environment,14.8
Botswana,Mining,Open Data Index,Open data,Enabling environment,44
Botswana,Mining,Open data inventory,Open data,Enabling environment,44.7
Botswana,Mining,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,96.3
Botswana,Mining,Regulatory quality,Regulatory quality,Enabling environment,84.1
Botswana,Mining,Rule of law,Rule of law,Enabling environment,89
Botswana,Mining,Voice and accountability,Voice and accountability,Enabling environment,87.8
Brazil,Oil and Gas,Control of corruption,Control of corruption,Enabling environment,65.8
Brazil,Oil and Gas,Government effectiveness,Government effectiveness,Enabling environment,64.6
Brazil,Oil and Gas,Open Data Barometer,Open data,Enabling environment,87
Brazil,Oil and Gas,Open Data Index,Open data,Enabling environment,89.8
Brazil,Oil and Gas,Open data inventory,Open data,Enabling environment,72.9
Brazil,Oil and Gas,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,60.9
Brazil,Oil and Gas,Regulatory quality,Regulatory quality,Enabling environment,68.2
Brazil,Oil and Gas,Rule of law,Rule of law,Enabling environment,74.3
Brazil,Oil and Gas,Voice and accountability,Voice and accountability,Enabling environment,85.3
Burkina Faso,Mining,Control of corruption,Control of corruption,Enabling environment,73.1
Burkina Faso,Mining,Government effectiveness,Government effectiveness,Enabling environment,48.7
Burkina Faso,Mining,Open Data Barometer,Open data,Enabling environment,29.6
Burkina Faso,Mining,Open Data Index,Open data,Enabling environment,67.7
Burkina Faso,Mining,Open data inventory,Open data,Enabling environment,44.7
Burkina Faso,Mining,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,42.6
Burkina Faso,Mining,Regulatory quality,Regulatory quality,Enabling environment,62.1
Burkina Faso,Mining,Rule of law,Rule of law,Enabling environment,56
Burkina Faso,Mining,Voice and accountability,Voice and accountability,Enabling environment,68.2
Cambodia,Mining,Control of corruption,Control of corruption,Enabling environment,24.3
Cambodia,Mining,Government effectiveness,Government effectiveness,Enabling environment,39
Cambodia,Mining,Open Data Index,Open data,Enabling environment,28.8
Cambodia,Mining,Open data inventory,Open data,Enabling environment,9.4
Cambodia,Mining,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,74.3
Cambodia,Mining,Regulatory quality,Regulatory quality,Enabling environment,54.8
Cambodia,Mining,Rule of law,Rule of law,Enabling environment,32.9
Cambodia,Mining,Voice and accountability,Voice and accountability,Enabling environment,34.1
Cameroon,Oil and Gas,Control of corruption,Control of corruption,Enabling environment,25.6
Cameroon,Oil and Gas,Government effectiveness,Government effectiveness,Enabling environment,31.7
Cameroon,Oil and Gas,Open Data Barometer,Open data,Enabling environment,16.6
Cameroon,Oil and Gas,Open Data Index,Open data,Enabling environment,55.9
Cameroon,Oil and Gas,Open data inventory,Open data,Enabling environment,60
Cameroon,Oil and Gas,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,24.3
Cameroon,Oil and Gas,Regulatory quality,Regulatory quality,Enabling environment,32.9
Cameroon,Oil and Gas,Rule of law,Rule of law,Enabling environment,30.4
Cameroon,Oil and Gas,Voice and accountability,Voice and accountability,Enabling environment,41.4
Canada (Alberta),Oil and Gas,Control of corruption,Control of corruption,Enabling environment,95.1
Canada (Alberta),Oil and Gas,Government effectiveness,Government effectiveness,Enabling environment,97.5
Canada (Alberta),Oil and Gas,Open Data Barometer,Open data,Enabling environment,94.4
Canada (Alberta),Oil and Gas,Open data inventory,Open data,Enabling environment,96.4
Canada (Alberta),Oil and Gas,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,98.7
Canada (Alberta),Oil and Gas,Regulatory quality,Regulatory quality,Enabling environment,96.3
Canada (Alberta),Oil and Gas,Rule of law,Rule of law,Enabling environment,97.5
Canada (Alberta),Oil and Gas,Voice and accountability,Voice and accountability,Enabling environment,97.5
Chad,Oil and Gas,Control of corruption,Control of corruption,Enabling environment,13.4
Chad,Oil and Gas,Government effectiveness,Government effectiveness,Enabling environment,8.5
Chad,Oil and Gas,Open data inventory,Open data,Enabling environment,30.5
Chad,Oil and Gas,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,25.6
Chad,Oil and Gas,Regulatory quality,Regulatory quality,Enabling environment,18.2
Chad,Oil and Gas,Rule of law,Rule of law,Enabling environment,19.5
Chad,Oil and Gas,Voice and accountability,Voice and accountability,Enabling environment,18.2
Chile,Mining,Control of corruption,Control of corruption,Enabling environment,92.6
Chile,Mining,Government effectiveness,Government effectiveness,Enabling environment,91.4
Chile,Mining,Open Data Barometer,Open data,Enabling environment,79.6
Chile,Mining,Open Data Index,Open data,Enabling environment,83
Chile,Mining,Open data inventory,Open data,Enabling environment,76.4
Chile,Mining,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,84.1
Chile,Mining,Regulatory quality,Regulatory quality,Enabling environment,93.9
Chile,Mining,Rule of law,Rule of law,Enabling environment,92.6
Chile,Mining,Voice and accountability,Voice and accountability,Enabling environment,92.6
China,Oil and Gas,Control of corruption,Control of corruption,Enabling environment,75.6
China,Oil and Gas,Government effectiveness,Government effectiveness,Enabling environment,85.3
China,Oil and Gas,Open Data Barometer,Open data,Enabling environment,53.7
China,Oil and Gas,Open Data Index,Open data,Enabling environment,38.9
China,Oil and Gas,Open data inventory,Open data,Enabling environment,76.4
China,Oil and Gas,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,51.2
China,Oil and Gas,Regulatory quality,Regulatory quality,Enabling environment,64.6
China,Oil and Gas,Rule of law,Rule of law,Enabling environment,69.5
China,Oil and Gas,Voice and accountability,Voice and accountability,Enabling environment,9.7
Colombia,Mining,Control of corruption,Control of corruption,Enabling environment,74.3
Colombia,Mining,Government effectiveness,Government effectiveness,Enabling environment,71.9
Colombia,Mining,Open Data Barometer,Open data,Enabling environment,81.4
Colombia,Mining,Open Data Index,Open data,Enabling environment,94.9
Colombia,Mining,Open data inventory,Open data,Enabling environment,65.8
Colombia,Mining,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,19.5
Colombia,Mining,Regulatory quality,Regulatory quality,Enabling environment,82.9
Colombia,Mining,Rule of law,Rule of law,Enabling environment,70.7
Colombia,Mining,Voice and accountability,Voice and accountability,Enabling environment,71.9
Colombia,Oil and Gas,Control of corruption,Control of corruption,Enabling environment,74.3
Colombia,Oil and Gas,Government effectiveness,Government effectiveness,Enabling environment,71.9
Colombia,Oil and Gas,Open Data Barometer,Open data,Enabling environment,81.4
Colombia,Oil and Gas,Open Data Index,Open data,Enabling environment,94.9
Colombia,Oil and Gas,Open data inventory,Open data,Enabling environment,65.8
Colombia,Oil and Gas,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,19.5
Colombia,Oil and Gas,Regulatory quality,Regulatory quality,Enabling environment,82.9
Colombia,Oil and Gas,Rule of law,Rule of law,Enabling environment,70.7
Colombia,Oil and Gas,Voice and accountability,Voice and accountability,Enabling environment,71.9
Congo,Oil and Gas,Control of corruption,Control of corruption,Enabling environment,18.2
Congo,Oil and Gas,Government effectiveness,Government effectiveness,Enabling environment,24.3
Congo,Oil and Gas,Open data inventory,Open data,Enabling environment,23.5
Congo,Oil and Gas,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,53.6
Congo,Oil and Gas,Regulatory quality,Regulatory quality,Enabling environment,19.5
Congo,Oil and Gas,Rule of law,Rule of law,Enabling environment,25.6
Congo,Oil and Gas,Voice and accountability,Voice and accountability,Enabling environment,40.2
Côte d'Ivoire,Oil and Gas,Control of corruption,Control of corruption,Enabling environment,68.2
Côte d'Ivoire,Oil and Gas,Government effectiveness,Government effectiveness,Enabling environment,42.6
Côte d'Ivoire,Oil and Gas,Open data inventory,Open data,Enabling environment,16.4
Côte d'Ivoire,Oil and Gas,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,36.5
Côte d'Ivoire,Oil and Gas,Regulatory quality,Regulatory quality,Enabling environment,51.2
Côte d'Ivoire,Oil and Gas,Rule of law,Rule of law,Enabling environment,51.2
Côte d'Ivoire,Oil and Gas,Voice and accountability,Voice and accountability,Enabling environment,53.6
Cuba,Oil and Gas,Control of corruption,Control of corruption,Enabling environment,84.1
Cuba,Oil and Gas,Government effectiveness,Government effectiveness,Enabling environment,74.3
Cuba,Oil and Gas,Open data inventory,Open data,Enabling environment,72.9
Cuba,Oil and Gas,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,87.8
Cuba,Oil and Gas,Regulatory quality,Regulatory quality,Enabling environment,15.8
Cuba,Oil and Gas,Rule of law,Rule of law,Enabling environment,50
Cuba,Oil and Gas,Voice and accountability,Voice and accountability,Enabling environment,12.1
Democratic Republic of Congo,Mining,Control of corruption,Control of corruption,Enabling environment,17
Democratic Republic of Congo,Mining,Government effectiveness,Government effectiveness,Enabling environment,4.8
Democratic Republic of Congo,Mining,Open data inventory,Open data,Enabling environment,16.4
Democratic Republic of Congo,Mining,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,7.3
Democratic Republic of Congo,Mining,Regulatory quality,Regulatory quality,Enabling environment,12.1
Democratic Republic of Congo,Mining,Rule of law,Rule of law,Enabling environment,6
Democratic Republic of Congo,Mining,Voice and accountability,Voice and accountability,Enabling environment,21.9
Democratic Republic of Congo,Oil and Gas,Control of corruption,Control of corruption,Enabling environment,17
Democratic Republic of Congo,Oil and Gas,Government effectiveness,Government effectiveness,Enabling environment,4.8
Democratic Republic of Congo,Oil and Gas,Open data inventory,Open data,Enabling environment,16.4
Democratic Republic of Congo,Oil and Gas,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,7.3
Democratic Republic of Congo,Oil and Gas,Regulatory quality,Regulatory quality,Enabling environment,12.1
Democratic Republic of Congo,Oil and Gas,Rule of law,Rule of law,Enabling environment,6
Democratic Republic of Congo,Oil and Gas,Voice and accountability,Voice and accountability,Enabling environment,21.9
Ecuador,Oil and Gas,Control of corruption,Control of corruption,Enabling environment,51.2
Ecuador,Oil and Gas,Government effectiveness,Government effectiveness,Enabling environment,56
Ecuador,Oil and Gas,Open Data Barometer,Open data,Enabling environment,64.8
Ecuador,Oil and Gas,Open Data Index,Open data,Enabling environment,67.7
Ecuador,Oil and Gas,Open data inventory,Open data,Enabling environment,90.5
Ecuador,Oil and Gas,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,70.7
Ecuador,Oil and Gas,Regulatory quality,Regulatory quality,Enabling environment,21.9
Ecuador,Oil and Gas,Rule of law,Rule of law,Enabling environment,26.8
Ecuador,Oil and Gas,Voice and accountability,Voice and accountability,Enabling environment,62.1
Egypt,Oil and Gas,Control of corruption,Control of corruption,Enabling environment,59.7
Egypt,Oil and Gas,Government effectiveness,Government effectiveness,Enabling environment,32.9
Egypt,Oil and Gas,Open Data Barometer,Open data,Enabling environment,25.9
Egypt,Oil and Gas,Open Data Index,Open data,Enabling environment,52.5
Egypt,Oil and Gas,Open data inventory,Open data,Enabling environment,56.4
Egypt,Oil and Gas,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,14.6
Egypt,Oil and Gas,Regulatory quality,Regulatory quality,Enabling environment,42.6
Egypt,Oil and Gas,Rule of law,Rule of law,Enabling environment,58.5
Egypt,Oil and Gas,Voice and accountability,Voice and accountability,Enabling environment,32.9
Equatorial Guinea,Oil and Gas,Control of corruption,Control of corruption,Enabling environment,1.2
Equatorial Guinea,Oil and Gas,Government effectiveness,Government effectiveness,Enabling environment,9.7
Equatorial Guinea,Oil and Gas,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,65.8
Equatorial Guinea,Oil and Gas,Regulatory quality,Regulatory quality,Enabling environment,10.9
Equatorial Guinea,Oil and Gas,Rule of law,Rule of law,Enabling environment,9.7
Equatorial Guinea,Oil and Gas,Voice and accountability,Voice and accountability,Enabling environment,3.6
Eritrea,Mining,Control of corruption,Control of corruption,Enabling environment,10.9
Eritrea,Mining,Government effectiveness,Government effectiveness,Enabling environment,6
Eritrea,Mining,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,31.7
Eritrea,Mining,Regulatory quality,Regulatory quality,Enabling environment,2.4
Eritrea,Mining,Rule of law,Rule of law,Enabling environment,8.5
Eritrea,Mining,Voice and accountability,Voice and accountability,Enabling environment,2.4
Ethiopia,Mining,Control of corruption,Control of corruption,Enabling environment,69.5
Ethiopia,Mining,Government effectiveness,Government effectiveness,Enabling environment,43.9
Ethiopia,Mining,Open Data Barometer,Open data,Enabling environment,18.5
Ethiopia,Mining,Open Data Index,Open data,Enabling environment,30.5
Ethiopia,Mining,Open data inventory,Open data,Enabling environment,12.9
Ethiopia,Mining,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,13.4
Ethiopia,Mining,Regulatory quality,Regulatory quality,Enabling environment,25.6
Ethiopia,Mining,Rule of law,Rule of law,Enabling environment,60.9
Ethiopia,Mining,Voice and accountability,Voice and accountability,Enabling environment,24.3
Gabon,Oil and Gas,Control of corruption,Control of corruption,Enabling environment,50
Gabon,Oil and Gas,Government effectiveness,Government effectiveness,Enabling environment,35.3
Gabon,Oil and Gas,Open data inventory,Open data,Enabling environment,7
Gabon,Oil and Gas,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,79.2
Gabon,Oil and Gas,Regulatory quality,Regulatory quality,Enabling environment,41.4
Gabon,Oil and Gas,Rule of law,Rule of law,Enabling environment,54.8
Gabon,Oil and Gas,Voice and accountability,Voice and accountability,Enabling environment,42.6
Ghana,Mining,Control of corruption,Control of corruption,Enabling environment,79.2
Ghana,Mining,Government effectiveness,Government effectiveness,Enabling environment,59.7
Ghana,Mining,Open Data Barometer,Open data,Enabling environment,31.4
Ghana,Mining,Open data inventory,Open data,Enabling environment,23.5
Ghana,Mining,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,78
Ghana,Mining,Regulatory quality,Regulatory quality,Enabling environment,75.6
Ghana,Mining,Rule of law,Rule of law,Enabling environment,82.9
Ghana,Mining,Voice and accountability,Voice and accountability,Enabling environment,90.2
Ghana,Oil and Gas,Control of corruption,Control of corruption,Enabling environment,79.2
Ghana,Oil and Gas,Government effectiveness,Government effectiveness,Enabling environment,59.7
Ghana,Oil and Gas,Open Data Barometer,Open data,Enabling environment,31.4
Ghana,Oil and Gas,Open data inventory,Open data,Enabling environment,23.5
Ghana,Oil and Gas,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,78
Ghana,Oil and Gas,Regulatory quality,Regulatory quality,Enabling environment,75.6
Ghana,Oil and Gas,Rule of law,Rule of law,Enabling environment,82.9
Ghana,Oil and Gas,Voice and accountability,Voice and accountability,Enabling environment,90.2
Guatemala,Mining,Control of corruption,Control of corruption,Enabling environment,45.1
Guatemala,Mining,Government effectiveness,Government effectiveness,Enabling environment,37.8
Guatemala,Mining,Open Data Index,Open data,Enabling environment,64.4
Guatemala,Mining,Open data inventory,Open data,Enabling environment,20
Guatemala,Mining,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,43.9
Guatemala,Mining,Regulatory quality,Regulatory quality,Enabling environment,70.7
Guatemala,Mining,Rule of law,Rule of law,Enabling environment,29.2
Guatemala,Mining,Voice and accountability,Voice and accountability,Enabling environment,56
Guinea,Mining,Control of corruption,Control of corruption,Enabling environment,29.2
Guinea,Mining,Government effectiveness,Government effectiveness,Enabling environment,20.7
Guinea,Mining,Open Data Index,Open data,Enabling environment,33.8
Guinea,Mining,Open data inventory,Open data,Enabling environment,65.8
Guinea,Mining,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,57.3
Guinea,Mining,Regulatory quality,Regulatory quality,Enabling environment,36.5
Guinea,Mining,Rule of law,Rule of law,Enabling environment,18.2
Guinea,Mining,Voice and accountability,Voice and accountability,Enabling environment,45.1
India,Oil and Gas,Control of corruption,Control of corruption,Enabling environment,71.9
India,Oil and Gas,Government effectiveness,Government effectiveness,Enabling environment,78
India,Oil and Gas,Open Data Barometer,Open data,Enabling environment,75.9
India,Oil and Gas,Open Data Index,Open data,Enabling environment,84.7
India,Oil and Gas,Open data inventory,Open data,Enabling environment,87
India,Oil and Gas,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,28
India,Oil and Gas,Regulatory quality,Regulatory quality,Enabling environment,59.7
India,Oil and Gas,Rule of law,Rule of law,Enabling environment,78
India,Oil and Gas,Voice and accountability,Voice and accountability,Enabling environment,86.5
Indonesia,Mining,Control of corruption,Control of corruption,Enabling environment,63.4
Indonesia,Mining,Government effectiveness,Government effectiveness,Enabling environment,62.1
Indonesia,Mining,Open Data Barometer,Open data,Enabling environment,68.5
Indonesia,Mining,Open Data Index,Open data,Enabling environment,77.9
Indonesia,Mining,Open data inventory,Open data,Enabling environment,60
Indonesia,Mining,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,46.3
Indonesia,Mining,Regulatory quality,Regulatory quality,Enabling environment,69.5
Indonesia,Mining,Rule of law,Rule of law,Enabling environment,63.4
Indonesia,Mining,Voice and accountability,Voice and accountability,Enabling environment,78
Indonesia,Oil and Gas,Control of corruption,Control of corruption,Enabling environment,63.4
Indonesia,Oil and Gas,Government effectiveness,Government effectiveness,Enabling environment,62.1
Indonesia,Oil and Gas,Open Data Barometer,Open data,Enabling environment,68.5
Indonesia,Oil and Gas,Open Data Index,Open data,Enabling environment,77.9
Indonesia,Oil and Gas,Open data inventory,Open data,Enabling environment,60
Indonesia,Oil and Gas,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,46.3
Indonesia,Oil and Gas,Regulatory quality,Regulatory quality,Enabling environment,69.5
Indonesia,Oil and Gas,Rule of law,Rule of law,Enabling environment,63.4
Indonesia,Oil and Gas,Voice and accountability,Voice and accountability,Enabling environment,78
Iran,Oil and Gas,Control of corruption,Control of corruption,Enabling environment,54.8
Iran,Oil and Gas,Government effectiveness,Government effectiveness,Enabling environment,63.4
Iran,Oil and Gas,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,29.2
Iran,Oil and Gas,Regulatory quality,Regulatory quality,Enabling environment,13.4
Iran,Oil and Gas,Rule of law,Rule of law,Enabling environment,31.7
Iran,Oil and Gas,Voice and accountability,Voice and accountability,Enabling environment,10.9
Iraq,Oil and Gas,Control of corruption,Control of corruption,Enabling environment,8.5
Iraq,Oil and Gas,Government effectiveness,Government effectiveness,Enabling environment,14.6
Iraq,Oil and Gas,Open Data Index,Open data,Enabling environment,27.1
Iraq,Oil and Gas,Open data inventory,Open data,Enabling environment,35.2
Iraq,Oil and Gas,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,4.8
Iraq,Oil and Gas,Regulatory quality,Regulatory quality,Enabling environment,17
Iraq,Oil and Gas,Rule of law,Rule of law,Enabling environment,7.3
Iraq,Oil and Gas,Voice and accountability,Voice and accountability,Enabling environment,25.6
Kazakhstan,Oil and Gas,Control of corruption,Control of corruption,Enabling environment,41.4
Kazakhstan,Oil and Gas,Government effectiveness,Government effectiveness,Enabling environment,70.7
Kazakhstan,Oil and Gas,Open Data Barometer,Open data,Enabling environment,51.8
Kazakhstan,Oil and Gas,Open Data Index,Open data,Enabling environment,76.2
Kazakhstan,Oil and Gas,Open data inventory,Open data,Enabling environment,82.3
Kazakhstan,Oil and Gas,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,71.9
Kazakhstan,Oil and Gas,Regulatory quality,Regulatory quality,Enabling environment,76.8
Kazakhstan,Oil and Gas,Rule of law,Rule of law,Enabling environment,65.8
Kazakhstan,Oil and Gas,Voice and accountability,Voice and accountability,Enabling environment,30.4
Kuwait,Oil and Gas,Control of corruption,Control of corruption,Enabling environment,78
Kuwait,Oil and Gas,Government effectiveness,Government effectiveness,Enabling environment,73.1
Kuwait,Oil and Gas,Open Data Index,Open data,Enabling environment,38.9
Kuwait,Oil and Gas,Open data inventory,Open data,Enabling environment,57.6
Kuwait,Oil and Gas,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,68.2
Kuwait,Oil and Gas,Regulatory quality,Regulatory quality,Enabling environment,73.1
Kuwait,Oil and Gas,Rule of law,Rule of law,Enabling environment,80.4
Kuwait,Oil and Gas,Voice and accountability,Voice and accountability,Enabling environment,48.7
Kyrgyzstan,Mining,Control of corruption,Control of corruption,Enabling environment,21.9
Kyrgyzstan,Mining,Government effectiveness,Government effectiveness,Enabling environment,29.2
Kyrgyzstan,Mining,Open Data Index,Open data,Enabling environment,81.3
Kyrgyzstan,Mining,Open data inventory,Open data,Enabling environment,89.4
Kyrgyzstan,Mining,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,32.9
Kyrgyzstan,Mining,Regulatory quality,Regulatory quality,Enabling environment,56
Kyrgyzstan,Mining,Rule of law,Rule of law,Enabling environment,28
Kyrgyzstan,Mining,Voice and accountability,Voice and accountability,Enabling environment,52.4
Laos,Mining,Control of corruption,Control of corruption,Enabling environment,35.3
Laos,Mining,Government effectiveness,Government effectiveness,Enabling environment,53.6
Laos,Mining,Open data inventory,Open data,Enabling environment,20
Laos,Mining,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,85.3
Laos,Mining,Regulatory quality,Regulatory quality,Enabling environment,40.2
Laos,Mining,Rule of law,Rule of law,Enabling environment,45.1
Laos,Mining,Voice and accountability,Voice and accountability,Enabling environment,8.5
Liberia,Mining,Control of corruption,Control of corruption,Enabling environment,53.6
Liberia,Mining,Government effectiveness,Government effectiveness,Enabling environment,10.9
Liberia,Mining,Open data inventory,Open data,Enabling environment,52.9
Liberia,Mining,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,39
Liberia,Mining,Regulatory quality,Regulatory quality,Enabling environment,34.1
Liberia,Mining,Rule of law,Rule of law,Enabling environment,36.5
Liberia,Mining,Voice and accountability,Voice and accountability,Enabling environment,63.4
Libya,Oil and Gas,Control of corruption,Control of corruption,Enabling environment,3.6
Libya,Oil and Gas,Government effectiveness,Government effectiveness,Enabling environment,2.4
Libya,Oil and Gas,Open Data Index,Open data,Enabling environment,18.6
Libya,Oil and Gas,Open data inventory,Open data,Enabling environment,2.3
Libya,Oil and Gas,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,6
