country,sector,indicator,subComponent,component,score
Afghanistan,Mining,Tax authority practice,Taxation,Value realization,0
Afghanistan,Mining,Tax authority rules,Taxation,Value realization,100
Afghanistan,Mining,Taxation rules,Taxation,Value realization,50
Algeria,Oil and Gas,Control of corruption,Control of corruption,Enabling environment,48.7
Algeria,Oil and Gas,Government effectiveness,Government effectiveness,Enabling environment,52.4
Algeria,Oil and Gas,Open Data Index,Open data,Enabling environment,20.3
Algeria,Oil and Gas,Open data inventory,Open data,Enabling environment,9.4
Algeria,Oil and Gas,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,21.9
Algeria,Oil and Gas,Regulatory quality,Regulatory quality,Enabling environment,20.7
Algeria,Oil and Gas,Rule of law,Rule of law,Enabling environment,39
Algeria,Oil and Gas,Voice and accountability,Voice and accountability,Enabling environment,46.3
Algeria,Oil and Gas,Fiscal rule practice,National budgeting,Revenue management,0
Algeria,Oil and Gas,Fiscal rules,National budgeting,Revenue management,0
Algeria,Oil and Gas,National budget disclosure,National budgeting,Revenue management,100
Algeria,Oil and Gas,National debt disclosure,National budgeting,Revenue management,40
Algeria,Oil and Gas,Online data portal,National budgeting,Revenue management,0
Algeria,Oil and Gas,SWF deposit and withdrawal practice,Sovereign wealth funds,Revenue management,66.66666666666667
Algeria,Oil and Gas,SWF deposit and withdrawal rules,Sovereign wealth funds,Revenue management,33.333333333333336
Algeria,Oil and Gas,SWF financial reporting practice,Sovereign wealth funds,Revenue management,26.666666666666668
Algeria,Oil and Gas,SWF financial reporting rules,Sovereign wealth funds,Revenue management,0
Algeria,Oil and Gas,SWF investment practice,Sovereign wealth funds,Revenue management,0
Algeria,Oil and Gas,SWF investment rules,Sovereign wealth funds,Revenue management,0
Algeria,Oil and Gas,Subnational transfer agency rules,Subnational resource revenue sharing,Revenue management,NaN
Algeria,Oil and Gas,Subnational transfer audit practice,Subnational resource revenue sharing,Revenue management,NaN
Algeria,Oil and Gas,Subnational transfer audit rule,Subnational resource revenue sharing,Revenue management,NaN
Algeria,Oil and Gas,Subnational transfer disclosure,Subnational resource revenue sharing,Revenue management,NaN
Algeria,Oil and Gas,Subnational transfer rules,Subnational resource revenue sharing,Revenue management,NaN
Algeria,Oil and Gas,Cadastre,Licensing,Value realization,0
Algeria,Oil and Gas,Contract disclosure,Licensing,Value realization,0
Algeria,Oil and Gas,Contract disclosure rules,Licensing,Value realization,0
Algeria,Oil and Gas,Financial interest disclosure practice,Licensing,Value realization,0
Algeria,Oil and Gas,Financial interest disclosure rules,Licensing,Value realization,50
Algeria,Oil and Gas,Post-licensing round practice,Licensing,Value realization,50
Algeria,Oil and Gas,Post-licensing round rules,Licensing,Value realization,25
Algeria,Oil and Gas,Pre-licensing round practice,Licensing,Value realization,66.66666666666667
Algeria,Oil and Gas,Pre-licensing round rules,Licensing,Value realization,100
Algeria,Oil and Gas,Reserves disclosure,Licensing,Value realization,76.66666666666667
Algeria,Oil and Gas,Compensation to land users and owners rules,Local impact,Value realization,0
Algeria,Oil and Gas,EIA/SIA disclosure,Local impact,Value realization,0
Algeria,Oil and Gas,EIA/SIA rules,Local impact,Value realization,25
Algeria,Oil and Gas,Environmental compliance practice,Local impact,Value realization,NaN
Algeria,Oil and Gas,Environmental compliance rules,Local impact,Value realization,100
Algeria,Oil and Gas,Environmental mitigation plan disclosure,Local impact,Value realization,0
Algeria,Oil and Gas,Environmental mitigation plan rules,Local impact,Value realization,50
Algeria,Oil and Gas,Commodity sale disclosures,State-owned enterprises,Value realization,25
Algeria,Oil and Gas,Commodity sale rules,State-owned enterprises,Value realization,0
Algeria,Oil and Gas,SOE corporate governance practice,State-owned enterprises,Value realization,60
Algeria,Oil and Gas,SOE financial reporting practice,State-owned enterprises,Value realization,76
Algeria,Oil and Gas,SOE financial reporting rules,State-owned enterprises,Value realization,33.333333333333336
Algeria,Oil and Gas,SOE joint ventures and subsidiaries disclosure,State-owned enterprises,Value realization,48
Algeria,Oil and Gas,SOE non-operational activity practice,State-owned enterprises,Value realization,10
Algeria,Oil and Gas,SOE production disclosure,State-owned enterprises,Value realization,80
Algeria,Oil and Gas,SOE-government transfers disclosure,State-owned enterprises,Value realization,40
Algeria,Oil and Gas,SOE-government transfers rules,State-owned enterprises,Value realization,100
Algeria,Oil and Gas,Company payment disclosure,Taxation,Value realization,56.666666666666664
Algeria,Oil and Gas,Company payment rules,Taxation,Value realization,0
Algeria,Oil and Gas,EITI affiliation and reporting,Taxation,Value realization,30
Algeria,Oil and Gas,Export disclosure,Taxation,Value realization,66.66666666666667
Algeria,Oil and Gas,Production disclosure,Taxation,Value realization,66.66666666666667
Algeria,Oil and Gas,Tax authority practice,Taxation,Value realization,0
Algeria,Oil and Gas,Tax authority rules,Taxation,Value realization,83.33333333333333
Algeria,Oil and Gas,Taxation rules,Taxation,Value realization,80
Angola,Oil and Gas,Control of corruption,Control of corruption,Enabling environment,7.3
Angola,Oil and Gas,Government effectiveness,Government effectiveness,Enabling environment,25.6
Angola,Oil and Gas,Open data inventory,Open data,Enabling environment,12.9
Angola,Oil and Gas,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,47.5
Angola,Oil and Gas,Regulatory quality,Regulatory quality,Enabling environment,30.4
Angola,Oil and Gas,Rule of law,Rule of law,Enabling environment,21.9
Angola,Oil and Gas,Voice and accountability,Voice and accountability,Enabling environment,28
Angola,Oil and Gas,Fiscal rule practice,National budgeting,Revenue management,0
Angola,Oil and Gas,Fiscal rules,National budgeting,Revenue management,0
Angola,Oil and Gas,National budget disclosure,National budgeting,Revenue management,100
Angola,Oil and Gas,National debt disclosure,National budgeting,Revenue management,90
Angola,Oil and Gas,Online data portal,National budgeting,Revenue management,0
Angola,Oil and Gas,SWF deposit and withdrawal practice,Sovereign wealth funds,Revenue management,25
Angola,Oil and Gas,SWF deposit and withdrawal rules,Sovereign wealth funds,Revenue management,0
Angola,Oil and Gas,SWF financial reporting practice,Sovereign wealth funds,Revenue management,26.666666666666668
Angola,Oil and Gas,SWF financial reporting rules,Sovereign wealth funds,Revenue management,75
Angola,Oil and Gas,SWF investment practice,Sovereign wealth funds,Revenue management,25
Angola,Oil and Gas,SWF investment rules,Sovereign wealth funds,Revenue management,0
Angola,Oil and Gas,Subnational transfer agency rules,Subnational resource revenue sharing,Revenue management,77.7
Angola,Oil and Gas,Subnational transfer audit practice,Subnational resource revenue sharing,Revenue management,0
Angola,Oil and Gas,Subnational transfer audit rule,Subnational resource revenue sharing,Revenue management,0
Angola,Oil and Gas,Subnational transfer disclosure,Subnational resource revenue sharing,Revenue management,0
Angola,Oil and Gas,Subnational transfer rules,Subnational resource revenue sharing,Revenue management,77.7
Angola,Oil and Gas,Cadastre,Licensing,Value realization,80
Angola,Oil and Gas,Contract disclosure,Licensing,Value realization,0
Angola,Oil and Gas,Contract disclosure rules,Licensing,Value realization,0
Angola,Oil and Gas,Financial interest disclosure practice,Licensing,Value realization,0
Angola,Oil and Gas,Financial interest disclosure rules,Licensing,Value realization,10
Angola,Oil and Gas,Post-licensing round practice,Licensing,Value realization,66.66666666666667
Angola,Oil and Gas,Post-licensing round rules,Licensing,Value realization,75
Angola,Oil and Gas,Pre-licensing round practice,Licensing,Value realization,100
Angola,Oil and Gas,Pre-licensing round rules,Licensing,Value realization,75
Angola,Oil and Gas,Reserves disclosure,Licensing,Value realization,50
Angola,Oil and Gas,Compensation to land users and owners rules,Local impact,Value realization,50
Angola,Oil and Gas,EIA/SIA disclosure,Local impact,Value realization,0
Angola,Oil and Gas,EIA/SIA rules,Local impact,Value realization,50
Angola,Oil and Gas,Environmental compliance practice,Local impact,Value realization,NaN
Angola,Oil and Gas,Environmental compliance rules,Local impact,Value realization,100
Angola,Oil and Gas,Environmental mitigation plan disclosure,Local impact,Value realization,0
Angola,Oil and Gas,Environmental mitigation plan rules,Local impact,Value realization,50
Angola,Oil and Gas,Commodity sale disclosures,State-owned enterprises,Value realization,37.5
Angola,Oil and Gas,Commodity sale rules,State-owned enterprises,Value realization,25
Angola,Oil and Gas,SOE corporate governance practice,State-owned enterprises,Value realization,50
Angola,Oil and Gas,SOE financial reporting practice,State-owned enterprises,Value realization,96
Angola,Oil and Gas,SOE financial reporting rules,State-owned enterprises,Value realization,33.333333333333336
Angola,Oil and Gas,SOE joint ventures and subsidiaries disclosure,State-owned enterprises,Value realization,16
Angola,Oil and Gas,SOE non-operational activity practice,State-owned enterprises,Value realization,25
Angola,Oil and Gas,SOE production disclosure,State-owned enterprises,Value realization,90
Angola,Oil and Gas,SOE-government transfers disclosure,State-owned enterprises,Value realization,90
Angola,Oil and Gas,SOE-government transfers rules,State-owned enterprises,Value realization,100
Angola,Oil and Gas,Company payment disclosure,Taxation,Value realization,100
Angola,Oil and Gas,Company payment rules,Taxation,Value realization,0
Angola,Oil and Gas,EITI affiliation and reporting,Taxation,Value realization,30
Angola,Oil and Gas,Export disclosure,Taxation,Value realization,93.33333333333333
Angola,Oil and Gas,Production disclosure,Taxation,Value realization,83.33333333333333
Angola,Oil and Gas,Tax authority practice,Taxation,Value realization,0
Angola,Oil and Gas,Tax authority rules,Taxation,Value realization,100
Angola,Oil and Gas,Taxation rules,Taxation,Value realization,50
Argentina,Oil and Gas,Control of corruption,Control of corruption,Enabling environment,57.3
Argentina,Oil and Gas,Government effectiveness,Government effectiveness,Enabling environment,68.2
Argentina,Oil and Gas,Open Data Barometer,Open data,Enabling environment,55.5
Argentina,Oil and Gas,Open Data Index,Open data,Enabling environment,71.1
Argentina,Oil and Gas,Open data inventory,Open data,Enabling environment,35.2
Argentina,Oil and Gas,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,75.6
Argentina,Oil and Gas,Regulatory quality,Regulatory quality,Enabling environment,28
Argentina,Oil and Gas,Rule of law,Rule of law,Enabling environment,41.4
Argentina,Oil and Gas,Voice and accountability,Voice and accountability,Enabling environment,84.1
Argentina,Oil and Gas,Fiscal rule practice,National budgeting,Revenue management,0
Argentina,Oil and Gas,Fiscal rules,National budgeting,Revenue management,50
Argentina,Oil and Gas,National budget disclosure,National budgeting,Revenue management,75
Argentina,Oil and Gas,National debt disclosure,National budgeting,Revenue management,50
Argentina,Oil and Gas,Online data portal,National budgeting,Revenue management,95
Argentina,Oil and Gas,SWF deposit and withdrawal practice,Sovereign wealth funds,Revenue management,NaN
Argentina,Oil and Gas,SWF deposit and withdrawal rules,Sovereign wealth funds,Revenue management,NaN
Argentina,Oil and Gas,SWF financial reporting practice,Sovereign wealth funds,Revenue management,NaN
Argentina,Oil and Gas,SWF financial reporting rules,Sovereign wealth funds,Revenue management,NaN
Argentina,Oil and Gas,SWF investment practice,Sovereign wealth funds,Revenue management,NaN
Argentina,Oil and Gas,SWF investment rules,Sovereign wealth funds,Revenue management,NaN
Argentina,Oil and Gas,Subnational transfer agency rules,Subnational resource revenue sharing,Revenue management,NaN
Argentina,Oil and Gas,Subnational transfer audit practice,Subnational resource revenue sharing,Revenue management,NaN
Argentina,Oil and Gas,Subnational transfer audit rule,Subnational resource revenue sharing,Revenue management,NaN
Argentina,Oil and Gas,Subnational transfer disclosure,Subnational resource revenue sharing,Revenue management,NaN
Argentina,Oil and Gas,Subnational transfer rules,Subnational resource revenue sharing,Revenue management,NaN
Argentina,Oil and Gas,Cadastre,Licensing,Value realization,80
Argentina,Oil and Gas,Contract disclosure,Licensing,Value realization,0
Argentina,Oil and Gas,Contract disclosure rules,Licensing,Value realization,0
Argentina,Oil and Gas,Financial interest disclosure practice,Licensing,Value realization,0
Argentina,Oil and Gas,Financial interest disclosure rules,Licensing,Value realization,100
Argentina,Oil and Gas,Post-licensing round practice,Licensing,Value realization,0
Argentina,Oil and Gas,Post-licensing round rules,Licensing,Value realization,0
Argentina,Oil and Gas,Pre-licensing round practice,Licensing,Value realization,10
Argentina,Oil and Gas,Pre-licensing round rules,Licensing,Value realization,75
Argentina,Oil and Gas,Reserves disclosure,Licensing,Value realization,93.33333333333333
Argentina,Oil and Gas,Compensation to land users and owners rules,Local impact,Value realization,50
Argentina,Oil and Gas,EIA/SIA disclosure,Local impact,Value realization,100
Argentina,Oil and Gas,EIA/SIA rules,Local impact,Value realization,25
Argentina,Oil and Gas,Environmental compliance practice,Local impact,Value realization,NaN
Argentina,Oil and Gas,Environmental compliance rules,Local impact,Value realization,100
Argentina,Oil and Gas,Environmental mitigation plan disclosure,Local impact,Value realization,100
Argentina,Oil and Gas,Environmental mitigation plan rules,Local impact,Value realization,50
Argentina,Oil and Gas,Commodity sale disclosures,State-owned enterprises,Value realization,25
Argentina,Oil and Gas,Commodity sale rules,State-owned enterprises,Value realization,100
Argentina,Oil and Gas,SOE corporate governance practice,State-owned enterprises,Value realization,60
Argentina,Oil and Gas,SOE financial reporting practice,State-owned enterprises,Value realization,100
Argentina,Oil and Gas,SOE financial reporting rules,State-owned enterprises,Value realization,66.66666666666667
Argentina,Oil and Gas,SOE joint ventures and subsidiaries disclosure,State-owned enterprises,Value realization,80
Argentina,Oil and Gas,SOE non-operational activity practice,State-owned enterprises,Value realization,100
Argentina,Oil and Gas,SOE production disclosure,State-owned enterprises,Value realization,100
Argentina,Oil and Gas,SOE-government transfers disclosure,State-owned enterprises,Value realization,100
Argentina,Oil and Gas,SOE-government transfers rules,State-owned enterprises,Value realization,100
Argentina,Oil and Gas,Company payment disclosure,Taxation,Value realization,0
Argentina,Oil and Gas,Company payment rules,Taxation,Value realization,0
Argentina,Oil and Gas,EITI affiliation and reporting,Taxation,Value realization,30
Argentina,Oil and Gas,Export disclosure,Taxation,Value realization,50
Argentina,Oil and Gas,Production disclosure,Taxation,Value realization,93.33333333333333
Argentina,Oil and Gas,Tax authority practice,Taxation,Value realization,0
Argentina,Oil and Gas,Tax authority rules,Taxation,Value realization,100
Argentina,Oil and Gas,Taxation rules,Taxation,Value realization,70
Australia (Western),Mining,Control of corruption,Control of corruption,Enabling environment,97.5
Australia (Western),Mining,Government effectiveness,Government effectiveness,Enabling environment,95.1
Australia (Western),Mining,Open Data Barometer,Open data,Enabling environment,92.5
Australia (Western),Mining,Open Data Index,Open data,Enabling environment,93.2
Australia (Western),Mining,Open data inventory,Open data,Enabling environment,91.7
Australia (Western),Mining,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,93.9
Australia (Western),Mining,Regulatory quality,Regulatory quality,Enabling environment,97.5
Australia (Western),Mining,Rule of law,Rule of law,Enabling environment,96.3
Australia (Western),Mining,Voice and accountability,Voice and accountability,Enabling environment,96.3
Australia (Western),Mining,Fiscal rule practice,National budgeting,Revenue management,0
Australia (Western),Mining,Fiscal rules,National budgeting,Revenue management,0
Australia (Western),Mining,National budget disclosure,National budgeting,Revenue management,100
Australia (Western),Mining,National debt disclosure,National budgeting,Revenue management,100
Australia (Western),Mining,Online data portal,National budgeting,Revenue management,0
Australia (Western),Mining,SWF deposit and withdrawal practice,Sovereign wealth funds,Revenue management,75
Australia (Western),Mining,SWF deposit and withdrawal rules,Sovereign wealth funds,Revenue management,50
Australia (Western),Mining,SWF financial reporting practice,Sovereign wealth funds,Revenue management,93.33333333333333
Australia (Western),Mining,SWF financial reporting rules,Sovereign wealth funds,Revenue management,100
Australia (Western),Mining,SWF investment practice,Sovereign wealth funds,Revenue management,50
Australia (Western),Mining,SWF investment rules,Sovereign wealth funds,Revenue management,0
Australia (Western),Mining,Subnational transfer agency rules,Subnational resource revenue sharing,Revenue management,NaN
Australia (Western),Mining,Subnational transfer audit practice,Subnational resource revenue sharing,Revenue management,NaN
Australia (Western),Mining,Subnational transfer audit rule,Subnational resource revenue sharing,Revenue management,NaN
Australia (Western),Mining,Subnational transfer disclosure,Subnational resource revenue sharing,Revenue management,NaN
Australia (Western),Mining,Subnational transfer rules,Subnational resource revenue sharing,Revenue management,NaN
Australia (Western),Mining,Cadastre,Licensing,Value realization,75
Australia (Western),Mining,Contract disclosure,Licensing,Value realization,100
Australia (Western),Mining,Contract disclosure rules,Licensing,Value realization,100
Australia (Western),Mining,Financial interest disclosure practice,Licensing,Value realization,0
Australia (Western),Mining,Financial interest disclosure rules,Licensing,Value realization,10
Australia (Western),Mining,Post-licensing round practice,Licensing,Value realization,100
Australia (Western),Mining,Post-licensing round rules,Licensing,Value realization,62.5
Australia (Western),Mining,Pre-licensing round practice,Licensing,Value realization,25
Australia (Western),Mining,Pre-licensing round rules,Licensing,Value realization,0
Australia (Western),Mining,Reserves disclosure,Licensing,Value realization,90
Australia (Western),Mining,Compensation to land users and owners rules,Local impact,Value realization,50
Australia (Western),Mining,EIA/SIA disclosure,Local impact,Value realization,100
Australia (Western),Mining,EIA/SIA rules,Local impact,Value realization,75
Australia (Western),Mining,Environmental compliance practice,Local impact,Value realization,100
Australia (Western),Mining,Environmental compliance rules,Local impact,Value realization,100
Australia (Western),Mining,Environmental mitigation plan disclosure,Local impact,Value realization,100
Australia (Western),Mining,Environmental mitigation plan rules,Local impact,Value realization,50
Australia (Western),Mining,Commodity sale disclosures,State-owned enterprises,Value realization,NaN
Australia (Western),Mining,Commodity sale rules,State-owned enterprises,Value realization,NaN
Australia (Western),Mining,SOE corporate governance practice,State-owned enterprises,Value realization,NaN
Australia (Western),Mining,SOE financial reporting practice,State-owned enterprises,Value realization,NaN
Australia (Western),Mining,SOE financial reporting rules,State-owned enterprises,Value realization,NaN
Australia (Western),Mining,SOE joint ventures and subsidiaries disclosure,State-owned enterprises,Value realization,NaN
Australia (Western),Mining,SOE non-operational activity practice,State-owned enterprises,Value realization,NaN
Australia (Western),Mining,SOE production disclosure,State-owned enterprises,Value realization,NaN
Australia (Western),Mining,SOE-government transfers disclosure,State-owned enterprises,Value realization,NaN
Australia (Western),Mining,SOE-government transfers rules,State-owned enterprises,Value realization,NaN
Australia (Western),Mining,Company payment disclosure,Taxation,Value realization,66.66666666666667
Australia (Western),Mining,Company payment rules,Taxation,Value realization,0
Australia (Western),Mining,EITI affiliation and reporting,Taxation,Value realization,30
Australia (Western),Mining,Export disclosure,Taxation,Value realization,66.66666666666667
Australia (Western),Mining,Production disclosure,Taxation,Value realization,66.66666666666667
Australia (Western),Mining,Tax authority practice,Taxation,Value realization,100
Australia (Western),Mining,Tax authority rules,Taxation,Value realization,66.66666666666667
Australia (Western),Mining,Taxation rules,Taxation,Value realization,66.66666666666667
Azerbaijan,Oil and Gas,Control of corruption,Control of corruption,Enabling environment,36.5
Azerbaijan,Oil and Gas,Government effectiveness,Government effectiveness,Enabling environment,60.9
Azerbaijan,Oil and Gas,Open Data Index,Open data,Enabling environment,55.9
Azerbaijan,Oil and Gas,Open data inventory,Open data,Enabling environment,83.5
Azerbaijan,Oil and Gas,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,40.2
Azerbaijan,Oil and Gas,Regulatory quality,Regulatory quality,Enabling environment,65.8
Azerbaijan,Oil and Gas,Rule of law,Rule of law,Enabling environment,53.6
Azerbaijan,Oil and Gas,Voice and accountability,Voice and accountability,Enabling environment,14.6
Azerbaijan,Oil and Gas,Fiscal rule practice,National budgeting,Revenue management,50
Azerbaijan,Oil and Gas,Fiscal rules,National budgeting,Revenue management,40
Azerbaijan,Oil and Gas,National budget disclosure,National budgeting,Revenue management,75
Azerbaijan,Oil and Gas,National debt disclosure,National budgeting,Revenue management,0
Azerbaijan,Oil and Gas,Online data portal,National budgeting,Revenue management,0
Azerbaijan,Oil and Gas,SWF deposit and withdrawal practice,Sovereign wealth funds,Revenue management,75
Azerbaijan,Oil and Gas,SWF deposit and withdrawal rules,Sovereign wealth funds,Revenue management,16.666666666666668
Azerbaijan,Oil and Gas,SWF financial reporting practice,Sovereign wealth funds,Revenue management,66.66666666666667
Azerbaijan,Oil and Gas,SWF financial reporting rules,Sovereign wealth funds,Revenue management,50
Azerbaijan,Oil and Gas,SWF investment practice,Sovereign wealth funds,Revenue management,80
Azerbaijan,Oil and Gas,SWF investment rules,Sovereign wealth funds,Revenue management,25
Azerbaijan,Oil and Gas,Subnational transfer agency rules,Subnational resource revenue sharing,Revenue management,NaN
Azerbaijan,Oil and Gas,Subnational transfer audit practice,Subnational resource revenue sharing,Revenue management,NaN
Azerbaijan,Oil and Gas,Subnational transfer audit rule,Subnational resource revenue sharing,Revenue management,NaN
Azerbaijan,Oil and Gas,Subnational transfer disclosure,Subnational resource revenue sharing,Revenue management,NaN
Azerbaijan,Oil and Gas,Subnational transfer rules,Subnational resource revenue sharing,Revenue management,NaN
Azerbaijan,Oil and Gas,Cadastre,Licensing,Value realization,75
Azerbaijan,Oil and Gas,Contract disclosure,Licensing,Value realization,35
Azerbaijan,Oil and Gas,Contract disclosure rules,Licensing,Value realization,0
Azerbaijan,Oil and Gas,Financial interest disclosure practice,Licensing,Value realization,0
Azerbaijan,Oil and Gas,Financial interest disclosure rules,Licensing,Value realization,10
Azerbaijan,Oil and Gas,Post-licensing round practice,Licensing,Value realization,33.333333333333336
Azerbaijan,Oil and Gas,Post-licensing round rules,Licensing,Value realization,25
Azerbaijan,Oil and Gas,Pre-licensing round practice,Licensing,Value realization,0
Azerbaijan,Oil and Gas,Pre-licensing round rules,Licensing,Value realization,0
Azerbaijan,Oil and Gas,Reserves disclosure,Licensing,Value realization,76.66666666666667
Azerbaijan,Oil and Gas,Compensation to land users and owners rules,Local impact,Value realization,50
Azerbaijan,Oil and Gas,EIA/SIA disclosure,Local impact,Value realization,100
Azerbaijan,Oil and Gas,EIA/SIA rules,Local impact,Value realization,25
Azerbaijan,Oil and Gas,Environmental compliance practice,Local impact,Value realization,0
Azerbaijan,Oil and Gas,Environmental compliance rules,Local impact,Value realization,50
Azerbaijan,Oil and Gas,Environmental mitigation plan disclosure,Local impact,Value realization,NaN
Azerbaijan,Oil and Gas,Environmental mitigation plan rules,Local impact,Value realization,0
Azerbaijan,Oil and Gas,Commodity sale disclosures,State-owned enterprises,Value realization,37.5
Azerbaijan,Oil and Gas,Commodity sale rules,State-owned enterprises,Value realization,0
Azerbaijan,Oil and Gas,SOE corporate governance practice,State-owned enterprises,Value realization,100
Azerbaijan,Oil and Gas,SOE financial reporting practice,State-owned enterprises,Value realization,100
Azerbaijan,Oil and Gas,SOE financial reporting rules,State-owned enterprises,Value realization,33.333333333333336
Azerbaijan,Oil and Gas,SOE joint ventures and subsidiaries disclosure,State-owned enterprises,Value realization,80
Azerbaijan,Oil and Gas,SOE non-operational activity practice,State-owned enterprises,Value realization,50
Azerbaijan,Oil and Gas,SOE production disclosure,State-owned enterprises,Value realization,100
Azerbaijan,Oil and Gas,SOE-government transfers disclosure,State-owned enterprises,Value realization,100
Azerbaijan,Oil and Gas,SOE-government transfers rules,State-owned enterprises,Value realization,100
Azerbaijan,Oil and Gas,Company payment disclosure,Taxation,Value realization,100
Azerbaijan,Oil and Gas,Company payment rules,Taxation,Value realization,50
Azerbaijan,Oil and Gas,EITI affiliation and reporting,Taxation,Value realization,75
Azerbaijan,Oil and Gas,Export disclosure,Taxation,Value realization,76.66666666666667
Azerbaijan,Oil and Gas,Production disclosure,Taxation,Value realization,76.66666666666667
Azerbaijan,Oil and Gas,Tax authority practice,Taxation,Value realization,0
Azerbaijan,Oil and Gas,Tax authority rules,Taxation,Value realization,16.666666666666668
Azerbaijan,Oil and Gas,Taxation rules,Taxation,Value realization,80
Bahrain,Oil and Gas,Control of corruption,Control of corruption,Enabling environment,85.3
Bahrain,Oil and Gas,Government effectiveness,Government effectiveness,Enabling environment,87.8
Bahrain,Oil and Gas,Open Data Barometer,Open data,Enabling environment,48.1
Bahrain,Oil and Gas,Open Data Index,Open data,Enabling environment,55.9
Bahrain,Oil and Gas,Open data inventory,Open data,Enabling environment,60
Bahrain,Oil and Gas,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,18.2
